job_id,job_title,city,country,region,all_countries,country_count,date_posted,capture_date,capture_year,employment_type,original_url,ts_term_count,ts_term_hits,role_class,signal_strength,security_relevant,harm_exposure_flag,market_specific_flag,technical_integrity_false_positive,in_final_subset
10003793663057674,Agency Partner,Milan,Italy,Western Europe,Italy,1,2025-09-29T09:31:23-07:00,20251209,2025,Full-time,https://www.metacareers.com/profile/job_details/10003793663057674,0,,non_integrity,none,no,no,no,no,no
10018453378207879,"Software Engineer, Front End",Menlo Park,United States,North America,United States,1,2025-06-10T15:13:53-07:00,20260207,2026,Full-time,https://www.metacareers.com/profile/job_details/10018453378207879,0,,non_integrity,none,no,no,no,no,no
10031084473585283,"Network Production Engineer, Infrastructure",Menlo Park,United States,North America,United States,1,2025-01-02T23:20:00-08:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/10031084473585283,0,,non_integrity,none,no,no,no,no,no
1008904878100152,Display Electrical Engineer,Sunnyvale,United States,North America,United States,1,2025-06-11T11:57:26-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1008904878100152,1,integrity,core_integrity,high,yes,no,no,yes,no
1016010023629619,"Product Design Manager, Instagram – Commerce",New York,United States,North America,United States,1,2025-06-16T14:46:19-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1016010023629619,0,,non_integrity,none,no,no,no,no,no
1016590227328361,Consumer Product Marketing Manager,Los Angeles,United States,North America,United States,1,2025-06-06T14:09:07-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1016590227328361,0,,non_integrity,none,no,no,no,no,no
1019792683517806,"Research Scientist Intern, Physics-based Simulation for Avatars and Robotics PhD",Zurich,Switzerland,Western Europe,Switzerland,1,2025-09-25T11:23:29-07:00,20251214,2025,Internship,https://www.metacareers.com/profile/job_details/1019792683517806,0,,non_integrity,none,no,no,no,no,no
1026846922961994,"Supply Planning Specialist, Reality Labs",Sunnyvale,United States,North America,United States,1,2025-06-18T16:34:40-07:00,20251209,2025,Full-time,https://www.metacareers.com/profile/job_details/1026846922961994,0,,possible_integrity,low,yes,no,yes,no,no
1027202079447942,"Software Engineer, Systems",Bellevue,United States,North America,United States,1,2025-10-05T17:14:18-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1027202079447942,0,,non_integrity,none,no,no,no,no,no
1028085476110776,Software Engineering Manager,Menlo Park,United States,North America,United States,1,2025-10-26T19:05:24-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1028085476110776,0,,non_integrity,none,no,no,no,no,no
1030471552574905,Partner Engineer,São Paulo,Brazil,Latin America,Brazil,1,2025-07-14T02:06:52-07:00,20251213,2025,Full-time,https://www.metacareers.com/profile/job_details/1030471552574905,0,,non_integrity,none,no,no,no,no,no
1030703255880205,"Business Operations Manager, Partnerships",Menlo Park,United States,North America,United States,1,2025-12-11T17:06:35-08:00,20260120,2026,Full-time,https://www.metacareers.com/profile/job_details/1030703255880205,0,,non_integrity,none,no,no,no,no,no
1031032768371242,Production Engineer,Sunnyvale,United States,North America,United States,1,2024-06-10T13:39:02-07:00,20251213,2025,Full-time,https://www.metacareers.com/profile/job_details/1031032768371242,0,,possible_integrity,low,yes,no,yes,no,no
1032917275528585,"Technical Program Manager, Product Design Engineering, AI Glasses HW",Sunnyvale,United States,North America,United States,1,2025-10-09T09:52:14-07:00,20251213,2025,Full-time,https://www.metacareers.com/profile/job_details/1032917275528585,0,,non_integrity,none,no,no,no,no,no
1035049142119329,Robotics Studio Systems Integration Engineer,Redmond,United States,North America,United States,1,2025-12-02T16:27:52-08:00,20251216,2025,Full-time,https://www.metacareers.com/profile/job_details/1035049142119329,0,,non_integrity,none,no,no,no,no,no
1041411848053346,Display Integration Engineer,Sunnyvale,United States,North America,United States,1,2025-11-03T09:41:48-08:00,20251210,2025,Full-time,https://www.metacareers.com/profile/job_details/1041411848053346,0,,non_integrity,none,no,no,no,no,no
1048049836887307,"Software Engineer, Machine Learning",London,UK,Unknown,United Kingdom,1,2025-06-10T16:19:38-07:00,20251214,2025,Full-time,https://www.metacareers.com/profile/job_details/1048049836887307,0,,non_integrity,none,no,no,no,no,no
1055776473267317,"Strategic Partner Manager, Business Messaging",Menlo Park,United States,North America,United States,1,2025-04-28T11:22:16-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1055776473267317,0,,non_integrity,none,no,no,no,no,no
1057427173269828,"Construction Manager - Data Center Design, Engineering and Construction",Los Lunas,United States,North America,United States,1,2025-08-11T10:13:49-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1057427173269828,0,,non_integrity,none,no,no,yes,no,no
1057972999603315,"Software Engineer, Camera",Taipei,Taiwan,East Asia,Taiwan,1,2025-09-30T02:15:38-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1057972999603315,0,,non_integrity,none,no,no,no,no,no
1058363622156402,Software Engineer (Leadership) - Machine Learning,Zurich,Switzerland,Western Europe,Switzerland; United Kingdom,2,2024-01-24T06:38:43-08:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1058363622156402,0,,non_integrity,none,no,no,no,no,no
1059713709323092,"Research Scientist Intern, Product Algorithms (PhD)",Menlo Park,United States,North America,United States,1,2025-09-02T14:26:09-07:00,20251214,2025,Internship,https://www.metacareers.com/profile/job_details/1059713709323092,0,,non_integrity,none,no,no,no,no,no
1060575989215299,AI Research Scientist - Machine Learning for Behavioral AI,Redmond,United States,North America,United States,1,2025-03-27T17:17:25-07:00,20251206,2025,Full-time,https://www.metacareers.com/profile/job_details/1060575989215299,0,,non_integrity,none,no,no,no,no,no
1061795906099278,Software Engineer - iOS (Technical Leadership),Menlo Park,United States,North America,United States,1,2025-07-30T10:37:54-07:00,20251204,2025,Full-time,https://www.metacareers.com/profile/job_details/1061795906099278,0,,non_integrity,none,no,no,no,no,no
1062546941870825,"Data Engineering Manager, Analytics (Central Products)",Menlo Park,United States,North America,United States,1,2025-06-10T13:18:44-07:00,20260120,2026,Full-time,https://www.metacareers.com/profile/job_details/1062546941870825,0,,non_integrity,none,no,no,no,no,no
1065751875021260,"Director, Data Engineering",Sunnyvale,United States,North America,United States,1,2024-10-24T13:45:48-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1065751875021260,0,,non_integrity,none,no,no,no,no,no
1067812302137515,Lead Building Engineer,Singapore,Singapore,Southeast Asia,Singapore,1,2026-01-05T20:16:12-08:00,20260122,2026,Full-time,https://www.metacareers.com/profile/job_details/1067812302137515,0,,non_integrity,none,no,no,yes,no,no
1068950782023865,"Network Engineer, Foundation & Support",Singapore,Singapore,Southeast Asia,Singapore,1,2026-01-07T23:46:42-08:00,20260209,2026,Full-time,https://www.metacareers.com/profile/job_details/1068950782023865,0,,possible_integrity,low,yes,no,yes,no,no
1069034411836715,Electrical Engineer,Sunnyvale,United States,North America,United States,1,2025-06-10T14:23:55-07:00,20251214,2025,Full-time,https://www.metacareers.com/profile/job_details/1069034411836715,0,,non_integrity,none,no,no,no,no,no
1069554011988043,"Electrical Engineer, Reality Labs Research, Hardware Engineering",Redmond,United States,North America,United States,1,2025-07-31T07:41:36-07:00,20251209,2025,Full-time,https://www.metacareers.com/profile/job_details/1069554011988043,0,,non_integrity,none,no,no,no,no,no
1070147800777577,"Data Scientist, Product Analytics",Sunnyvale,United States,North America,United States,1,2024-10-11T13:31:05-07:00,20251204,2025,Full-time,https://www.metacareers.com/profile/job_details/1070147800777577,0,,non_integrity,none,no,no,no,no,no
1070237881858498,Risk and Controls Systems Advisor,Austin,United States,North America,United States,1,2025-12-16T21:21:45-08:00,20260122,2026,Full-time,https://www.metacareers.com/profile/job_details/1070237881858498,0,,non_integrity,none,no,no,no,no,no
1070703711701906,"Electrical Engineer, Systems",Shanghai,China,East Asia,China,1,2025-07-01T06:13:34-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1070703711701906,0,,non_integrity,none,no,no,no,no,no
1071090251660993,"Software Engineer, Camera Driver",Burlingame,United States,North America,United States,1,2025-06-10T14:18:44-07:00,20251204,2025,Full-time,https://www.metacareers.com/profile/job_details/1071090251660993,0,,non_integrity,none,no,no,no,no,no
1071661727626259,Production Systems Engineer,Dublin,Ireland,Western Europe,Ireland,1,2025-06-11T09:07:16-07:00,20251214,2025,Full-time,https://www.metacareers.com/profile/job_details/1071661727626259,0,,non_integrity,none,no,no,no,no,no
1073388218274195,Traditional Chinese Language Manager,Bellevue,United States,North America,United States,1,2025-08-08T16:03:56-07:00,20251213,2025,Full-time,https://www.metacareers.com/profile/job_details/1073388218274195,0,,non_integrity,none,no,no,no,no,no
1073668584760230,"ASIC Engineer, SoC Verification",Sunnyvale,United States,North America,United States,1,2025-11-20T14:51:42-08:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1073668584760230,0,,non_integrity,none,no,no,no,no,no
1075389717795087,Software Engineer (Technical Leadership) - Machine Learning,Sunnyvale,United States,North America,United States,1,2025-06-10T10:36:39-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1075389717795087,0,,non_integrity,none,no,no,no,no,no
1076063424382383,CoreOS Engineer(Technical Leadership),Hyderabad,India,South Asia,India,1,2025-10-02T18:19:23-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1076063424382383,0,,non_integrity,none,no,no,no,no,no
1076441851284968,"Manager, Data Center Network Deployment & Support",Aiken,United States,North America,United States,1,2026-01-27T09:30:06-08:00,20260207,2026,Full-time,https://www.metacareers.com/profile/job_details/1076441851284968,0,,possible_integrity,low,yes,no,no,no,no
1077101704312970,"Application Security Engineer, Privacy",Menlo Park,United States,North America,United States,1,2025-06-11T13:03:38-07:00,20251205,2025,Full-time,https://www.metacareers.com/profile/job_details/1077101704312970,0,,non_integrity,none,no,no,no,no,no
1079158160340219,"Software Engineer, Product",Bellevue,United States,North America,United States,1,2025-06-10T13:28:36-07:00,20251213,2025,Full-time,https://www.metacareers.com/profile/job_details/1079158160340219,0,,non_integrity,none,no,no,no,no,no
1081929713616144,Controls Subject Matter Expert,Rayville,United States,North America,United States,1,2025-08-14T09:29:34-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1081929713616144,1,integrity,core_integrity,high,yes,no,yes,yes,no
1082512670465895,"Research Scientist Intern, Holography (PhD)",Redmond,United States,North America,United States,1,2025-10-31T11:07:44-07:00,20251217,2025,Internship,https://www.metacareers.com/profile/job_details/1082512670465895,0,,non_integrity,none,no,no,no,no,no
1082748943010294,"Software Engineer, SystemML - Scaling / Performance",Menlo Park,United States,North America,United States,1,2024-04-10T11:35:26-07:00,20251207,2025,Full-time,https://www.metacareers.com/profile/job_details/1082748943010294,0,,non_integrity,none,no,no,no,no,no
1083635213888276,Fundamental AI Researcher - FAIR,Menlo Park,United States,North America,United States,1,2026-01-21T13:19:34-08:00,20260207,2026,Full-time,https://www.metacareers.com/profile/job_details/1083635213888276,0,,non_integrity,none,no,no,no,no,no
1084164533657805,"Application Security Engineer, Privacy",Menlo Park,United States,North America,United States,1,2025-07-15T14:01:08-07:00,20251213,2025,Full-time,https://www.metacareers.com/profile/job_details/1084164533657805,0,,non_integrity,none,no,no,no,no,no
1084685280522814,"Research Scientist, Machine Learning (PhD)",Singapore,Singapore,Southeast Asia,Singapore,1,2025-09-17T05:13:45-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1084685280522814,0,,non_integrity,none,no,no,no,no,no
1086568556938212,CapEx Sourcing Manager,Shanghai,China,East Asia,China,1,2025-08-20T19:31:13-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1086568556938212,0,,non_integrity,none,no,no,no,no,no
1088116780040391,"Product Designer, Reality Labs",Menlo Park,United States,North America,United States,1,2025-06-10T11:53:59-07:00,20251217,2025,Full-time,https://www.metacareers.com/profile/job_details/1088116780040391,0,,non_integrity,none,no,no,no,no,no
1088507413193516,"Research Scientist Intern, Human Understanding (PhD)",Burlingame,United States,North America,United States,1,2025-11-06T09:54:54-08:00,20251210,2025,Internship,https://www.metacareers.com/profile/job_details/1088507413193516,0,,non_integrity,none,no,no,no,no,no
